Unnamed: 0,value,category
1151, what is the earliest flight from boston to san francisco that serves a meal,travel
4418, do you have any flights from chicago to indianapolis,travel
647, is there a delta flight from boston to san francisco that stops in denver,travel
3704, what is ua,travel
2518, does united airlines provide any first class flights from denver to baltimore,travel
1844, what flights go from charlotte to baltimore in the morning,travel
4646, please give me round trip fares from baltimore to philadelphia,travel
1315, what's a flight that goes from baltimore to seattle,travel
1962, san francisco to philadelphia please,travel
2998, please list the cheapest flight from dallas to baltimore arriving on may seventh,travel
2547, show me what fare codes symbols stand for,travel
1666, flight from milwaukee to denver,travel
3319, what are the afternoon flights between washington and boston,travel
112, find me a flight on united from boston to san francisco with a stopover in denver,travel
4761, what flights from tacoma to orlando on saturday,travel
263, show me fares from seattle to minneapolis,travel
1393, what's the latest flight from san francisco to atlanta,travel
4662, what is the earliest american airlines flight that i can get first class from philadelphia to dallas,travel
1186, list all united flights from boston to san francisco,travel
2331, i would like to travel from indianapolis to houston,travel
56, i would like to see information for flights from san francisco leaving after 12 pm to pittsburgh on monday,travel
1309, i need to book a flight from newark to tampa on april fourth,travel
695, the flight will originate from boston,travel
3040, what's the schedule of flights from atlanta to boston on august first,travel
1720, could you give me a flight between pittsburgh and philadelphia,travel
1751, what flights go from newark to boston after 5 pm,travel
1773, what are the classes of service for continental airlines,travel
2021, does delta have an early afternoon flight from boston to san francisco,travel
2266, i need a flight from boston to san francisco leaving in the afternoon and arriving in the evening thank you,travel
682, okay i'd like to fly from denver to pittsburgh,travel
4605, what is the least expensive flight today from atlanta to san francisco,travel
3187, what is the schedule of flights from boston to denver next monday,travel
4227, give me the flights with the fares on december twenty seventh from indianapolis to orlando,travel
3477, show morning flights from philadelphia to dallas,travel
2829, can i rent a car in san jose too,travel
286, list all flights that leave from baltimore or denver or pittsburgh and arrive in philadelphia,travel
2282, show me the cheapest flights from atlanta to denver,travel
3130, may i have a listing of flights from minneapolis to long beach california on tuesday,travel
4041, list all flights from pittsburgh to philadelphia,travel
1684, what does hou mean,travel
4916, are there any flights from pittsburgh to boston that leave between noon and 5 o'clock,travel
3469, thanks and what's the last flight back from washington to boston,travel
1662, what are the flights from new york city to las vegas,travel
4252, what is the fare going from boston to dallas fort worth one way on november seventh,travel
736, i would like to fly from st. paul to san jose monday morning from san jose to houston tuesday morning and from houston to st. paul on wednesday morning,travel
3527, i'd like to fly from atlanta to denver on august twenty ninth,travel
336, flights from cincinnati to salt lake city,travel
2364, ground transportation philadelphia,travel
2748, which northwest and united flights go through denver before noon,travel
3454, how do i get downtown from the toronto airport,travel
4384, list all round trip flights from orlando to kansas city,travel
1071, what is the latest flight in the day to arrive in boston from baltimore,travel
3204, ground transportation in dallas and boston,travel
2610, show me the ground transportation in the salt lake city airport,travel
4809, i would like to book a flight from charlotte to baltimore on april eighth,travel
2231, list the earliest flights from atlanta to denver on a monday,travel
4094, how many seats in a 734,travel
3893, list the flights from denver to san francisco after 2 pm on a monday,travel
3338, does midwest express have any flights,travel
1488, i need a flight on thursday before 8 am from oakland to salt lake city,travel
498, what is airline us,travel
4325, morning flight from dallas to atlanta,travel
1874, what are the seating capacities of planes between pittsburgh and baltimore,travel
2534, i need flights that arrive in baltimore from pittsburgh,travel
2319, does american airlines offer a flight from boston to oakland which stops in denver,travel
2897, find travel arrangements for a one way flight from san francisco to dallas,travel
3013, can you show me the economy fare flights from baltimore to dallas,travel
2111, how many flights arrive at general mitchell international,travel
4116, show me all flights from boston to denver,travel
3375, are there any early flights from atlanta to washington on thursday mornings,travel
3623, morning flights from pittsburgh to atlanta on wednesday,travel
1022, show me the flights from newark new jersey to ontario international next saturday,travel
3996, what does code qw mean,travel
4864, what flights do you have from ontario,travel
2916, give me the flights from denver to baltimore on united airlines,travel
3039, also show me all flights from oakland to denver,travel
3142, i would like information on a flight between washington and san francisco with a stopover in dallas,travel
665, saturday or sunday flights between milwaukee and phoenix american airlines,travel
4310, what are the fares for flights between atlanta and dfw provided by american airlines,travel
2615, i would like to know the types of ground transportation from the airport to las vegas,travel
1862, please give me evening flights leaving philadelphia to san francisco friday,travel
3107, show me the flights from boston to philadelphia,travel
1017, please list all the flights from boston to san francisco leaving before 10 am,travel
557, is there ground transportation in oakland,travel
2378, what ground transportation is there in oakland,travel
1207, i would like to know the first class fare on a flight from baltimore to denver,travel
1966, show me what flights are available from baltimore to dallas with economy fares,travel
2633, looking for a flight from toronto to san diego,travel
