,values,category
0, what flights are available from pittsburgh to baltimore on thursday morning,travel
1, what is the arrival time in san francisco for the 755 am flight leaving washington,travel
2, cheapest airfare from tacoma to orlando,travel
3, round trip fares from pittsburgh to philadelphia under 1000 dollars,travel
4, i need a flight tomorrow from columbus to minneapolis,travel
5, what kind of aircraft is used on a flight from cleveland to dallas,travel
6, show me the flights from pittsburgh to los angeles on thursday,travel
7, all flights from boston to washington,travel
8, what kind of ground transportation is available in denver,travel
9, show me the flights from dallas to san francisco,travel
10, show me the flights from san diego to newark by way of houston,travel
11, what s the airport at orlando,travel
12, what is the cheapest flight from boston to bwi,travel
13, all flights to baltimore after 6 pm,travel
14, show me the first class fares from boston to denver,travel
15, show me the ground transportation in denver,travel
16, all flights from denver to pittsburgh leaving after 6 pm and before 7 pm,travel
17, i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore,travel
18, please give me the flights from boston to pittsburgh on thursday of next week,travel
19, i would like to fly from denver to pittsburgh on united airlines,travel
20, show me the flights from san diego to newark,travel
21, please list all first class flights on united from denver to baltimore,travel
22, what kinds of planes are used by american airlines,travel
23, i d like to have some information on a ticket from denver to pittsburgh and atlanta,travel
24, i d like to book a flight from atlanta to denver,travel
25, which airline serves denver pittsburgh and atlanta,travel
26, show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o clock pm,travel
27, atlanta ground transportation,travel
28, i also need service from dallas to boston arriving by noon,travel
29, show me the cheapest round trip fare from baltimore to dallas,travel
30, show me all flights from new york to milwaukee on northwest airlines departing at 720 am,travel
31, flights from new york to miami,travel
32, please find a flight on delta from philadelphia to san francisco and give me the flight numbers,travel
33, i need a flight from dallas to san francisco,travel
34, fares and flights from pittsburgh to philadelphia,travel
35, show me the airlines with first class flights,travel
36, what are the flights from st. louis to burbank sunday evening,travel
37, i d like to arrange a flight from pittsburgh to atlanta,travel
38, show flights from baltimore to san francisco between 6 pm and 8 pm on friday,travel
39, how far is it from orlando airport to orlando,travel
40, i would like a list of round trip flights between indianapolis and orlando florida for the twenty seventh and the twenty eighth of december,travel
41, which airline has the most arrivals in atlanta,travel
42, what airlines fly from new york to milwaukee to los angeles,travel
43, pittsburgh to denver,travel
44, which airlines serve atlanta,travel
45, show me information on ground transportation for dallas,travel
46, what is fare code h,travel
47, show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon,travel
48, i need a flight from charlotte to newark leaving today evening,travel
49, what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh,travel
50, flights from newark to cleveland,travel
51, what flights go from boston to pittsburgh after 6 o clock next tuesday,travel
52, how much does the limousine service cost within pittsburgh,travel
53, does us air have any flights out of atlanta to denver,travel
54, what is booking class c,travel
55, i d like to know the shortest trip between boston and san francisco,travel
56, i would like to see information for flights from san francisco leaving after 12 pm to pittsburgh on monday,travel
57, what is the least expensive flight from denver to atlanta,travel
58, i need to know information for flights leaving dallas on tuesday evening and returning to atlanta,travel
59, what flight goes from denver to baltimore first class on united airlines arriving on may seventh,travel
60, could you please tell me the airlines that fly from toronto to san diego,travel
61, what flights do you have from burbank to tacoma washington,travel
62, what is the ground transportation from philadelphia airport to the city proper,travel
63, which airlines have first class flights today,travel
64, find the latest flight from san francisco to atlanta that serves a meal,travel
65, i would like to make a reservation for a flight to denver from philadelphia on this coming sunday,travel
66, give me a list of airports in baltimore,travel
67, show me flights from boston to denver on wednesday,travel
